CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
75993,Imaging Center (Radiology),Routine Radiology Imaging,"TRANSLUMINAL ATHERECTOMY, EACH ADDITIONAL PERIPHERAL ARTERY,RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELYIN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
75994,Imaging Center (Radiology),Routine Radiology Imaging,"TRANSLUMINAL ATHERECTOMY, RENAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
75995,Imaging Center (Radiology),Routine Radiology Imaging,"TRANSLUMINAL ATHERECTOMY, VISCERAL, RADIOLOGICAL SUPERVISIONAND INTERPRETATION",,,,,
75996,Imaging Center (Radiology),Routine Radiology Imaging,"TRANSLUMINAL ATHERECTOMY, EACH ADDITIONAL VISCERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELYIN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
75998,Imaging Center (Radiology),Routine Radiology Imaging,"FLUOROSCOPIC GUIDANCE FOR CENTRAL VENOUS ACCESS DEVICE PLACEMENT, REPLACEMENT (CATHETER ONLY OR COMPLETE), OR REMOVAL (INCLUDES FLUOROSCOPIC GUIDANCE FOR VASCULAR ACCESS AND CATHETER MANIPULATION, ANY NECESSARY CONTRAST INJECTIONSTHROUGH AC",,,,,
76000,Imaging Center (Radiology),Routine Radiology Imaging,"FLUOROSCOPY (SEPARATE PROCEDURE), UP TO 1 HOUR PHYSICIAN TIME, OTHER THAN 71023 OR 71034 (EG, CARDIAC FLUOROSCOPY)",,,,,
76001,Imaging Center (Radiology),Routine Radiology Imaging,"FLUOROSCOPY, PHYSICIAN TIME MORE THAN 1 HOUR, ASSISTING A NONRADIOLOGIC PHYSICIAN (EG, NEPHROSTOLITHOTOMY, ERCP, BRONCHOSCOPY, TRANSBRONCHIAL BIOPSY)",,,,,
76003,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, USE 77002) FLUOROSCOPIC GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE)",,,,,
76005,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, USE 77003) FLUOROSCOPIC GUIDANCE AND LOCALIZATION OF NEEDLE OR CATHETER TIP FOR SPINE OR PARASPINOUS DIAGNOSTIC OR THERAPEUTIC INJECTION PROCEDURES (EPIDURAL, TRANSFORAMINAL EPIDURAL, SUBARACHNOID,PARAVERTE",,,,,
76006,Imaging Center (Radiology),Routine Radiology Imaging,"MANUAL APPLICATION OF STRESS PERFORMED BY PHYSICIAN FOR JOINT RADIOGRAPHY, INCLUDING CONTRALATERAL JOINT IF INDICATED",,,,,
76010,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION FROM NOSE TO RECTUM FOR FOREIGN BODY,SINGLE VIEW, CHILD",,,,,
76012,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS VERTEBROPLASTY, PER VERTEBRAL BODY; UNDER FLUOROSCOPIC GUIDANCE",,,,,
76013,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS VERTEBROPLASTY, PER VERTEBRAL BODY; UNDER CT GUIDANCE",,,,,
76020,Imaging Center (Radiology),Routine Radiology Imaging,BONE AGE STUDIES,,,,,
76040,Imaging Center (Radiology),Routine Radiology Imaging,"BONE LENGTH STUDIES (ORTHOROENTGENOGRAM, SCANOGRAM)",,,,,
76061,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; LIMITED (EG, FOR METASTASES)",,,,,
76062,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, SEE 77074, 77075) RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; COMPLETE (AXIAL AND APPENDICULAR SKELETON)",,,,,
76065,Imaging Center (Radiology),Routine Radiology Imaging,RADIOLOGIC EXAMINATION OSSEOUS SURVEY; INFANT,,,,,
76066,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, USE 77077) JOINT SURVEY, SINGLE VIEW, TWO OR MORE JOINTS (SPECIFY)",,,,,
76070,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, SEE 77078, 77079) COMPUTEDTOMOGRAPHY, BONE MINERAL DENSITY STUDY, ONE OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE)",,,,,
76071,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, SEE 77078, 77079) COMPUTEDTOMOGRAPHY, BONE MINERAL DENSITY STUDY, ONE OR MORE SITES; APPENDICULAR SKELETON (PERIPHERAL) (EG, RADIUS, WRIST, HEEL)",,,,,
76075,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL ENERGY X-RAY ABSORPTIOMETRY (DXA), BONE DENSITY STUDY, ONE OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE)",,,,,
76076,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL ENERGY X-RAY ABSORPTIOMETRY (DXA), BONE DENSITY STUDY, ONE OR MORE SITES; APPENDICULAR SKELETON (PERIPHERAL) (EG, RADIUS, WRIST, HEEL)",,,,,
76077,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL ENERGY X-RAY ABSORPTIOMETRY (DXA), BONE DENSITY STUDY, ONE OR MORE SITES; VERTEBRAL FRACTURE ASSESSMENT",,,,,
76078,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOGRAPHIC ABSORPTIOMETRY (EG, PHOTODENSITOMETRY, RADIOGRAMMETRY), ONE OR MORE SITES",,,,,
76080,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, ABSCESS, FISTULA OR SINUS TRACT STUDY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76081,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 20501,76080) RADIOLOGIC EXAMINATION, FISTULA OR SINUS TRACT STUDY; COMPLETE PROCEDURE",,,,,
76082,Imaging Center (Radiology),Routine Radiology Imaging,"COMPUTER AIDED DETECTION (COMPUTER ALGORITHM ANALYSIS OF DIGITAL IMAGE DATA FOR LESION DETECTION) WITH FURTHER PHYSICIAN REVIEW FOR INTERPRETATION, WITH OR WITHOUT DIGITIZATION OF FILM RADIOGRAPHIC IMAGES; DIAGNOSTIC MAMMOGRAPHY (LIST SEPAR",,,,,
76083,Imaging Center (Radiology),Routine Radiology Imaging,"COMPUTER AIDED DETECTION (COMPUTER ALGORITHM ANALYSIS OF DIGITAL IMAGE DATA FOR LESION DETECTION) WITH FURTHER PHYSICIAN REVIEW FOR INTERPRETATION, WITH OR WITHOUT DIGITIZATION OF FILM RADIOGRAPHIC IMAGES; SCREENING MAMMOGRAPHY (LIST SEPARA",,,,,
76085,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2004. TO REPORT, SEE 76082, 76083) DIGITIZATION OF FILM RADIOGRAPHIC IMAGES WITH COMPUTER ANALYSIS FOR LESION DETECTION AND FURTHER PHYSICIAN REVIEW FOR INTERPRETATION, MAMMOGRAPHY (LIST SEPARATELY IN ADDITIONTO CODE FOR PR",,,,,
76086,Imaging Center (Radiology),Routine Radiology Imaging,"MAMMARY DUCTOGRAM OR GALACTOGRAM, SINGLE DUCT, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76087,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 19030,76086) MAMMARY DUCTOGRAM OR GALACTOGRAM, SINGLE DUCT; COMPLETE PROCEDURE",,,,,
76088,Imaging Center (Radiology),Routine Radiology Imaging,"MAMMARY DUCTOGRAM OR GALACTOGRAM, MULTIPLE DUCTS, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76089,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 19030,76088) MAMMARY DUCTOGRAM OR GALACTOGRAM, MULTIPLE DUCTS; COMPLETE PROCEDURE",,,,,
76090,Imaging Center (Radiology),Routine Radiology Imaging,MAMMOGRAPHY; UNILATERAL,,,,,
76091,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, SEE 77055, 77056) MAMMOGRAPHY; BILATERAL",,,,,
76092,Imaging Center (Radiology),Routine Radiology Imaging,"SCREENING MAMMOGRAPHY, BILATERAL (TWO VIEW FILM STUDY OF EACH BREAST)",,,,,
76093,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, SEE 77058, 77059) MAGNETICRESONANCE IMAGING, BREAST, WITHOUT AND/OR WITH CONTRAST MATERIAL(S); UNILATERAL",,,,,
76094,Imaging Center (Radiology),Routine Radiology Imaging,"MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND/OR WITH CONTRAST MATERIAL(S); BILATERAL",,,,,
76095,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, USE 77031) STEREOTACTIC LOCALIZATION GUIDANCE FOR BREAST BIOPSY OR NEEDLE PLACEMENT (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76096,Imaging Center (Radiology),Routine Radiology Imaging,"MAMMOGRAPHIC GUIDANCE FOR NEEDLE PLACEMENT, BREAST (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76097,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1993. TO REPORT, SEE 19291, 76096) LOCALIZATION OF BREAST NODULE OR CALCIFICATION BEFORE OPERATION, WITH MARKER AND CONFIRMATION OF ITS POSITION WITHAPPROPRIATE IMAGING (EG, RADIOLOGIC OR ULTRASOUND); EACH ADDITIONAL LOCALI",,,,,
76098,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGICAL EXAMINATION, SURGICAL SPECIMEN",,,,,
76100,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SINGLE PLANE BODY SECTION (EG, TOMOGRAPHY), OTHER THAN WITH UROGRAPHY",,,,,
76101,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, COMPLEX MOTION (IE, HYPERCYCLOIDAL) BODY SECTION (EG, MASTOID POLYTOMOGRAPHY), OTHER THAN WITH UROGRAPHY; UNILATERAL",,,,,
76102,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, COMPLEX MOTION (IE, HYPERCYCLOIDAL) BODY SECTION (EG, MASTOID POLYTOMOGRAPHY), OTHER THAN WITH UROGRAPHY; BILATERAL",,,,,
76120,Imaging Center (Radiology),Routine Radiology Imaging,"CINERADIOGRAPHY/VIDEORADIOGRAPHY, EXCEPT WHERE SPECIFICALLY INCLUDED",,,,,
76125,Imaging Center (Radiology),Routine Radiology Imaging,CINERADIOGRAPHY/VIDEORADIOGRAPHY TO COMPLEMENT ROUTINE EXAMINATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARYPROCEDURE),,,,,
76130,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1987.) RADIOLOGIC EXAMINATION; AT BEDSIDE OR IN OPERATING ROOM, NOT OTHERWISE SPECIFIED",,,,,
76140,Imaging Center (Radiology),Routine Radiology Imaging,"CONSULTATION ON X-RAY EXAMINATION MADE ELSEWHERE, WRITTEN REPORT",,,,,
76145,Imaging Center (Radiology),Routine Radiology Imaging,"MEDICAL PHYSICS DOSE EVALUATION FOR RADIATION EXPOSURE THAT EXCEEDS INSTITUTIONAL REVIEW THRESHOLD, INCLUDING REPORT",,,,,
76150,Imaging Center (Radiology),Routine Radiology Imaging,XERORADIOGRAPHY,,,,,
76350,Imaging Center (Radiology),Routine Radiology Imaging,SUBTRACTION IN CONJUNCTION WITH CONTRAST STUDIES,,,,,
76355,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2007. TO REPORT, USE 77011) COMPUTED TOMOGRAPHY GUIDANCE FOR STEREOTACTIC LOCALIZATION",,,,,
76360,Imaging Center (Radiology),Routine Radiology Imaging,"COMPUTERIZED AXIAL TOMOGRAPHIC GUIDANCE FOR NEEDLE BIOPSY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76361,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE APPROPRIATE ORGAN OR SITE AND 76360) COMPUTERIZED TOMOGRAPHY GUIDANCE FOR NEEDLE BIOPSY; COMPLETE PROCEDURE",,,,,
76362,Imaging Center (Radiology),Routine Radiology Imaging,"COMPUTERIZED AXIAL TOMOGRAPHIC GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION",,,,,
76365,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 2001. FOR COMPUTED TOMOGRAPHIC GUIDANCE FORCYST ASPIRATION, SEE APPROPRIATE ORGAN OR SITE AND 76360) COMPUTERIZED TOMOGRAPHY GUIDANCE FOR CYST ASPIRATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76366,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE APPROPRIATE ORGAN OR SITE AND 76365) COMPUTERIZED TOMOGRAPHY GUIDANCE FOR CYST ASPIRATION; COMPLETE PROCEDURE",,,,,
76370,Imaging Center (Radiology),Routine Radiology Imaging,COMPUTERIZED AXIAL TOMOGRAPHIC GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS,,,,,
76375,Imaging Center (Radiology),Routine Radiology Imaging,"CORONAL, SAGITTAL, MULTIPLANAR, OBLIQUE, 3-DIMENSIONAL AND/OR HOLOGRAPHIC RECONSTRUCTION OF COMPUTED TOMOGRAPHY, MAGNETIC RESONANCE IMAGING, OR OTHER TOMOGRAPHIC MODALITY",,,,,
76376,Imaging Center (Radiology),Routine Radiology Imaging,"3D RENDERING WITH INTERPRETATION AND REPORTING OF COMPUTED TOMOGRAPHY, MAGNETIC RESONANCE IMAGING, ULTRASOUND, OR OTHERTOMOGRAPHIC MODALITY; NOT REQUIRING IMAGE POSTPROCESSING ON AN INDEPENDENT WORKSTATION",,,,,
76377,Imaging Center (Radiology),Routine Radiology Imaging,NULL,,,,,
76380,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, LIMITED OR LOCALIZED FOLLOW-UP STUDY",,,,,
76390,Imaging Center (Radiology),Routine Radiology Imaging,MAGNETIC RESONANCE SPECTROSCOPY,,,,,
76391,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, VIBRATION) ELASTOGRAPHY",,,,,
76393,Imaging Center (Radiology),MRI,"(CODE DELETED IN 2007. TO REPORT, USE 77021) MAGNETIC RESONANCE GUIDANCE FOR NEEDLE PLACEMENT (EG, FOR BIOPSY, NEEDLE ASPIRATION, INJECTION, OR PLACEMENT OF LOCALIZATION DEVICE) RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
76394,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION",,,,,
76400,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BONE MARROW BLOOD SUPPLY",,,,,
76490,Imaging Center (Radiology),MRI,"ULTRASOUND GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION",,,,,
76496,Imaging Center (Radiology),Routine Radiology Imaging,"UNLISTED FLUOROSCOPIC PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)",,,,,
76497,Imaging Center (Radiology),CT Scan,"UNLISTED COMPUTED TOMOGRAPHY PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)",,,,,
76498,Imaging Center (Radiology),MRI,"UNLISTED MAGNETIC RESONANCE PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)",,,,,
76499,Imaging Center (Radiology),Routine Radiology Imaging,UNLISTED DIAGNOSTIC RADIOGRAPHIC PROCEDURE,,,,,
76500,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1988.) ECHOENCEPHALOGRAPHY, A-MODE, DIENCEPHALIC MIDLINE",,,,,
76506,Imaging Center (Radiology),Routine Radiology Imaging,"ECHOENCEPHALOGRAPHY, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION (GRAY SCALE) (FOR DETERMINATION OF VENTRICULARSIZE, DELINEATION OF CEREBRAL CONTENTS AND DETECTION OF FLUID MASSES OR OTHER INTRACRANIAL ABNORMALITIES), INCLUDINGA-MODE E",,,,,
76506,Imaging Center (Radiology),Ultrasound,"ECHOENCEPHALOGRAPHY, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION (GRAY SCALE) (FOR DETERMINATION OF VENTRICULARSIZE, DELINEATION OF CEREBRAL CONTENTS AND DETECTION OF FLUID MASSES OR OTHER INTRACRANIAL ABNORMALITIES), INCLUDINGA-MODE E",,,,,
76510,Ophthalmology,Ultrasound,"OPHTHALMIC ULTRASOUND, DIAGNOSTIC; B-SCAN AND QUANTITATIVE A-SCAN PERFORMED DURING THE SAME PATIENT ENCOUNTER",,,,,
76511,Ophthalmology,Ultrasound,"OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; A-SCAN ONLY, WITH AMPLITUDE QUANTIFICATION",,,,,
76512,Ophthalmology,Ultrasound,"OPHTHALMIC ULTRASOUND, DIAGNOSTIC; B-SCAN (WITH OR WITHOUT SUPERIMPOSED NON-QUANTITATIVE A-SCAN)",,,,,
76513,Ophthalmology,Ultrasound,"OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; ANTERIOR SEGMENT ULTRASOUND, IMMERSION (WATER BATH) B-SCAN OR HIGH RESOLUTION BIOMICROSCOPY",,,,,
76514,Ophthalmology,Ultrasound,"OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; CORNEAL PACHYMETRY, UNILATERAL OR BILATERAL (DETERMINATION OF CORNEAL THICKNESS)",,,,,
76516,Ophthalmology,Ultrasound,"OPHTHALMIC BIOMETRY BY ULTRASOUND ECHOGRAPHY, A-SCAN;",,,,,
76519,Ophthalmology,Ultrasound,"OPHTHALMIC BIOMETRY BY ULTRASOUND ECHOGRAPHY, A-SCAN; WITH INTRAOCULAR LENS POWER CALCULATION",,,,,
76529,Ophthalmology,Ultrasound,OPHTHALMIC ULTRASONIC FOREIGN BODY LOCALIZATION,,,,,
76536,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, SOFT TISSUES OF HEAD AND NECK (EG, THYROID, PARATHYROID, PAROTID), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION",,,,,
76604,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, CHEST (INCLUDES MEDIASTINUM), REAL TIME WITH IMAGE DOCUMENTATION",,,,,
76620,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 76999) ECHOCARDIOGRAPHY, M-MODE; COMPLETE",,,,,
76625,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 76999) ECHOCARDIOGRAPHY, M-MODE; LIMITED (EG, FOLLOW-UP OR LIMITED STUDY)",,,,,
76627,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 93307) ECHOCARDIOGRAPHY, REAL-TIME WITH IMAGE DOCUMENTATION (2D); COMPLETE",,,,,
76628,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 93308) ECHOCARDIOGRAPHY, REAL-TIME WITH IMAGE DOCUMENTATION (2D); LIMITED",,,,,
76629,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 93307, 93308) ECHOCARDIOGRAPHY, M-MODE AND REAL TIME WITH IMAGE DOCUMENTATION (2D)",,,,,
76632,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1990. TO REPORT, USE 93320, 93321) DOPPLER ECHOCARDIOGRAPHY",,,,,
76641,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; COMPLETE",,,,,
76642,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",,,,,
76645,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, BREAST(S) (UNILATERAL OR BILATERAL), REAL TIME WITH IMAGE DOCUMENTATION",,,,,
76700,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ABDOMINAL, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE",,,,,
76705,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ABDOMINAL, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; LIMITED (EG, SINGLE ORGAN, QUADRANT, FOLLOW-UP)",,,,,
76706,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, ABDOMINAL AORTA, REAL TIME WITH IMAGE DOCUMENTATION, SCREENING STUDY FOR ABDOMINAL AORTIC ANEURYSM (AAA)",,,,,
76770,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, RETROPERITONEAL (EG, RENAL, AORTA, NODES), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE",,,,,
76775,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, RETROPERITONEAL (EG, RENAL, AORTA, NODES), REAL TIME WITH IMAGE DOCUMENTATION; LIMITED",,,,,
76776,Urology,Ultrasound,NULL,,,,,
76778,Urology,Ultrasound,"ULTRASOUND, TRANSPLANTED KIDNEY, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION, WITH OR WITHOUT DUPLEX DOPPLER STUDY",,,,,
76800,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, SPINAL CANAL AND CONTENTS",,,,,
76801,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION, FIRST TRIMESTER ( 14 WEEKS 0 DAYS), TRANSABDOMINAL APPROACH; SINGLE OR FIRST GESTATION",,,,,
76802,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION, FIRST TRIMESTER (<14 WEEKS 0 DAYS), TRANSABDOMINAL APPROACH; EACH ADDITIONAL GESTATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDUR",,,,,
76805,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION, AFTER FIRST TRIMESTER (> OR = 14 WEEKS 0 DAYS), TRANSABDOMINAL APPROACH;SINGLE OR FIRST GESTATION",,,,,
76810,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION, AFTER FIRST TRIMESTER (> OR = 14 WEEKS 0 DAYS), TRANSABDOMINAL APPROACH;EACH ADDITIONAL GESTATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMA",,,,,
76811,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION PLUS DETAILED FETAL ANATOMIC EXAMINATION, TRANSABDOMINAL APPROACH; SINGLE OR FIRST GESTATION",,,,,
76812,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION PLUS DETAILED FETAL ANATOMIC EXAMINATION, TRANSABDOMINAL APPROACH; EACH ADDITIONAL GESTATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PRO",,,,,
76813,Imaging Center (Radiology),Ultrasound,NULL,,,,,
76814,Imaging Center (Radiology),Ultrasound,NULL,,,,,
76815,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, LIMITED (EG, FETAL HEART BEAT, PLACENTAL LOCATION, FETAL POSITION AND/OR QUALITATIVE AMNIOTIC FLUID VOLUME), ONE OR MORE FETUSES",,,,,
76816,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PREGNANT UTERUS, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; FOLLOW-UP OR REPEAT",,,,,
76817,Reproductive Endocrinology,Ultrasound,"ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, TRANSVAGINAL",,,,,
76818,Obstetrics/Gynecology,Ultrasound,FETAL BIOPHYSICAL PROFILE; WITH NON-STRESS TESTING,,,,,
76819,Imaging Center (Radiology),Ultrasound,FETAL BIOPHYSICAL PROFILE; WITHOUT NON-STRESS TESTING,,,,,
76820,Obstetrics/Gynecology,Ultrasound,"DOPPLER VELOCIMETRY, FETAL; UMBILICAL ARTERY",,,,,
76821,Obstetrics/Gynecology,Ultrasound,"DOPPLER VELOCIMETRY, FETAL; MIDDLE CEREBRAL ARTERY",,,,,
76825,Cardiology,Ultrasound,"ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, REAL TIME WITH IMAGE DOCUMENTATION (2D) WITH OR WITHOUT M-MODE RECORDING;",,,,,
76826,Cardiology,Ultrasound,"ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, REAL TIME WITH IMAGE DOCUMENTATION (2D) WITH OR WITHOUT M-MODE RECORDING; FOLLOW-UP OR REPEAT STUDY",,,,,
76827,Cardiology,Ultrasound,"DOPPLER ECHOCARDIOGRAPHY, FETAL, PULSED WAVE AND/OR CONTINUOUS WAVE WITH SPECTRAL DISPLAY; COMPLETE",,,,,
76828,Cardiology,Ultrasound,"DOPPLER ECHOCARDIOGRAPHY, FETAL, PULSED WAVE AND/OR CONTINUOUS WAVE WITH SPECTRAL DISPLAY; FOLLOW-UP OR REPEAT STUDY",,,,,
76830,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, TRANSVAGINAL",,,,,
76831,Imaging Center (Radiology),Ultrasound,"SALINE INFUSION SONOHYSTEROGRAPHY (SIS), INCLUDING COLOR FLOW DOPPLER, WHEN PERFORMED",,,,,
76855,Imaging Center (Radiology),Ultrasound,"(CODE DELETED IN 1992. TO REPORT, SEE 93975-93979) ECHOGRAPHY, PELVIC AREA (DOPPLER)",,,,,
76856,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PELVIC (NONOBSTETRIC), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE",,,,,
76857,Imaging Center (Radiology),Ultrasound,"ULTRASOUND, PELVIC (NONOBSTETRIC), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; LIMITED OR FOLLOW-UP (EG, FOR FOLLICLES)",,,,,
